№з/п;Договір №;від;ЄДРПОУ контрагента;Назва контрагента;Предмет договору;Код CPV (розділ);Обсяг платежів, грн.
;;;;І.ТОВАРИ;;;
2;янв.69;14.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;239007.12
2;янв.84;29.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;342121.54
2;янв.88;29.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;477599.04
2;янв.83;29.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;955198.08
2;янв.86;29.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;712719.65
2;янв.85;29.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;305970.55
2;янв.87;29.06.2016;34421853;"ТОВ ""Апогєй""";капітальний ремонт ліфтів;45000000-7;530923.15
2;янв.71;14.06.2016;40355197;"ТОВ ""Мастерстрой-2010""";Капітальний ремонт приміщень;45000000-7;380000.00
2;б/н;17.06.2016;40355197;"ТОВ ""Мастерстрой-2010""";поточний ремонт фасаду житлового будинку;45000000-7;39019.63
2;янв.58;08.06.2016;40355197;"ТОВ ""Мастерстрой-2010""";поточний ремонт прибудинкової території;45000000-7;93898.80
2;янв.57;08.06.2016;40355197;"ТОВ ""Мастерстрой-2010""";поточний ремонт прибудинкової території;45000000-7;70546.80
2;янв.60;08.06.2016;40355197;"ТОВ ""Мастерстрой-2010""";поточний ремонт прибудинкової території;45000000-7;121936.80
2;б/н;01.09.2016;40355197;"ТОВ ""Мастерстрой-2010""";підготовка системи центрального опалення житлового будинку;45000000-7;29100.00
2;б/н;01.09.2016;40355197;"ТОВ ""Мастерстрой-2010""";підготовка системи центрального опалення житлового будинку;45000000-7;63115.20
2;янв.73;08.06.2016;40355197;"ТОВ ""Мастерстрой-2010""";поточний ремонт прибудинкової території;45000000-7;48183.60
2;1/100;19.07.2016;40355197;"ТОВ ""Мастерстрой-2010""";капітальний ремонт м'якої крівлі житлового будинку;45000000-7;621501.60
2;1/107;10.08.2016;40355197;"ТОВ ""Мастерстрой-2010""";капітальний ремонт фасаду житлового будинку;45000000-7;219895.03
2;янв.59;08.06.2016;40355197;"ТОВ ""Мастерстрой-2010""";поточний ремонт прибудинкової території;45000000-7;162600.00
2;янв.78;17.06.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт житлового будинку, заміна вікон;45000000-7;79955.82
2;1/130;03.10.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт основних фондів підприємства;45000000-7;1373300.00
2;02.сен;02.09.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт крівлі житлового будинку;45000000-7;299916.00
2;01.сен;02.09.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт крівлі житлового будинку;45000000-7;299934.00
2;1/152;07.12.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт крівлі житлового будинку;45000000-7;220000.00
2;1/149;02.11.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт крівлі житлового будинку;45000000-7;420084.00
2;1/169;29.11.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт крівлі житлового будинку;45000000-7;593868.00
2;1/170;29.11.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт крівлі житлового будинку;45000000-7;486258.00
2;1/165;24.11.2016;13882252;"ТОВ ""Ізотерм""";капітальний ремонт крівлі житлового будинку;45000000-7;463470.00
2;1/224;15.12.2016;13882252;"ТОВ ""Ізотерм""";поточний ремонт житлового будинку;45000000-7;19233.60
2;янв.46;12.05.2016;;ФОП Сколоздра О.З.;капітальний ремонт крівлі житлового будинку;45000000-7;649882.33
2;27;04.07.2016;;ФОП Сколоздра О.З.;капітальний ремонт крівлі житлового будинку;45000000-7;278354.29
2;1/129;03.10.2016;;ФОП Сколоздра О.З.;капітальний ремонт фасада та вимощення житлового будинку;45000000-7;295233.00
2;1/174;05.12.2016;;ФОП Сколоздра О.З.;капітальний ремонт крівлі житлового будинку;45000000-7;292864.37
2;б/н;20.11.2015;31622182;"ТОВ ""СМУ-22""";прокладання каналізаційних шляхів;45000000-7;74700.00
2;б/н;22.12.2015;31622182;"ТОВ ""СМУ-22""";прокладання каналізаційних шляхів;45000000-7;56025.00
2;б/н;10.02.2016;31622182;"ТОВ ""СМУ-22""";прокладання каналізаційних шляхів;45000000-7;62150.00
2;б/н;10.02.2016;31622182;"ТОВ ""СМУ-22""";прокладання каналізаційних шляхів;45000000-7;65220.00
2;б/н;05.04.2016;31622182;"ТОВ ""СМУ-22""";прокладання каналізаційних шляхів;45000000-7;138750.00
2;б/н;04.05.2016;31622182;"ТОВ ""СМУ-22""";гермитизація та чеканка каналізаційних колекторів;45000000-7;61380.00
2;б/н;30.06.2016;31622182;"ТОВ ""СМУ-22""";гермитизація та чеканка каналізаційних колекторів;45000000-7;62040.00
2;б/н;16.06.2016;31622182;"ТОВ ""СМУ-22""";гермитизація та чеканка каналізаційних колекторів;45000000-7;58700.00
2;б/н;07.07.2016;31622182;"ТОВ ""СМУ-22""";гермитизація та чеканка каналізаційних колекторів;45000000-7;67948.44
2;б/н;07.07.2016;31622182;"ТОВ ""СМУ-22""";гермитизація та чеканка каналізаційних колекторів;45000000-7;64994.16
2;б/н;25.09.2016;31622182;"ТОВ ""СМУ-22""";гермитизація та чеканка каналізаційних колекторів;45000000-7;63830.00
2;1/109;10.08.2016;36340457;"ТОВ ПБК ""МАНК.""";поточний ремонт-покраска знака Парус;45000000-7;15690.00
2;1/108;10.08.2016;36340457;"ТОВ ПБК ""МАНК.""";демонтаж пам'ятника Гайдара;45000000-7;29988.00
2;б/н;16.08.2016;36340457;"ТОВ ПБК ""МАНК.""";поточний ремонт крівлі;45000000-7;98708.40
2;б/н;16.08.2016;36340457;"ТОВ ПБК ""МАНК.""";поточний ремонт крівлі;45000000-7;44826.00
2;б/н;28.09.2016;36340457;"ТОВ ПБК ""МАНК.""";капітальний ремонт житлового будинку;45000000-7;149700.00
2;б/н;28.09.2016;36340457;"ТОВ ПБК ""МАНК.""";капітальний ремонт житлового будинку;45000000-7;137456.40
2;б/н;06.10.2016;36340457;"ТОВ ПБК ""МАНК.""";капітальний ремонт житлового будинку;45000000-7;144252.00
2;б/н;13.09.2016;36340457;"ТОВ ПБК ""МАНК.""";поточний ремонт каналізації житлового будинку;45000000-7;39852.00
2;1/135;10.10.2016;36340457;"ТОВ ПБК ""МАНК.""";капітальний ремонт житлового будинку;45000000-7;192522.00
2;1/134;05.10.2016;36340457;"ТОВ ПБК ""МАНК.""";поточний ремонт прибудинкової території;45000000-7;33546.00
2;1/157;21.11.2016;36340457;"ТОВ ПБК ""МАНК.""";капітальний ремонт крівлі житлового будинку;45000000-7;254032.90
Усього за розділом ІІ (РОБОТИ);;;;;;;17561978.18
;;;;ІІІ.ПОСЛУГИ;;;
3;;;30170110;"ДП ""Еско-Одеса""";Ремонт перфоратора;50000000-5;4302.43
3;504/68002;04.01.2016;22485297;Укрпошта УДППЗ;Друковані видання;22000000-0;30463.78
3;;;;"ТОВ ""Технотрастсервіс""";Ремонт обладнання;50000000-5;6705.91
3;;;21559964;"ТОВ ""Інпроект НВФ""";Збірник ціноутворення;22000000-0;4992.00
3;;03.10.2016;3123303670;ФОП Кісаров Д.М.;Обслуговування та повірка лічильника теплової енергії;98000000-3;2150.00
3;авг.63;05.10.2016;39763909;"ТОВ ""Фінансова компанія ""ГЕРЦ""";Фінансові послуги з приймання та переказу коштів;66000000-0;161005.10
3;2707;29.07.2016;35838749;"ТОВ ""Укртрансгруп""";"Періодичне видання ""Радник у сфері державних закупівель""";22000000-0;492.00
3;2-Т;13.05.2013;36849527;"ПАТ ""Одесагаз""";Експлуатація складових газорозподільної системи ;76000000-3;13336.81
3;466;29.09.2016;39567669;"ТОВ ""Перший БІТ.Південь""";Інформаційно-технологічний супровід 1С;72000000-5;2352.00
3;ЛЗЛ-00867;25.08.2016;2511201785;ФОП Гниленко О.Г.;Ліцензії на право використання КП Комплект Бізнес ЛІГА Закон;72000000-5;5160.00
3;;01.06.2016;2472411059;ФОП Лимарьов П.С.;Кур'єрські послуги;64000000-6;1040.00
3;23;15.06.2016;33017519;"ТОВ ""Холодмонтажавтоматика""";Технічне випробування електрообладнання;50000000-5;4000.00
3;462/0616;14.06.2016;2830002867;ФОП Барвіцька Б.В.;"Навчання за програмою ""Практика здійснення публічних закупівель"" ";80000000-4;1500.00
3;ОП91-1 ;21.01.2016;5537398;"ДНЗ ""Іллічівський професійний судоремонтний ліцей""";Послуги з утримання фекальної насосної станції;90000000-7;8023.18
3;ОП91-2;21.01.2016;5537398;"ДНЗ ""Іллічівський професійний судоремонтний ліцей""";Послуги з утримання трансформаторної подстанції;50000000-5;3674.09
3;ОП91-3;21.01.2016;5537398;"ДНЗ ""Іллічівський професійний судоремонтний ліцей""";Послуги з утримання насосної підкачки;50000000-5;7676.76
3;83/16;07.06.2016;33647738;"ТОВ ""Клімат контроль""";Демонтаж, монтаж, наладка і повірка газового лічильника;50000000-5;8728.00
3;2;30.05.2016;34169601;"ТОВ ""Іллічівськавтотранс""";Послуги перевезення;60000000-8;200.00
3;0104-2016-0140;13.05.2016;131713;"ПАТ ""Одесаобленерго""";Приєднання електроустановок до електричних мереж;50000000-8;20160.00
3;01/24575;16.05.2016;37026684;"ПП ""Український експертний будівельний центр""";Консультаційні послуги з питань визначення вартості будівельних робіт ПК АВК-5;79000000-4;2736.00
3;19137;17.05.2016;20962907;"КП ""Бюро технічної інвентарізації""";Підготовка інформації за адресою;98000000-3;169.81
3;731;11.04.2016;38017089;"ТОВ ""Міжгалузевий центр охорони праці та промислової безпеки""";Навчання по правилам електробезпеки;80000000-4;1440.00
3;МД-1353;19.04.2016;4725970;"ДП ""Одеський регіональний центр стандартизації, метрології та сертифікації""";Надання метрологічних послуг;71000000-8;14278.86
3;23;14.03.2016;20944074;"КП ""ІПВАПБ""";Виконання графічного матеріалу та розробка проекту капітального ремонту;71000000-8;4409.95
3;18668;17.03.2016;20962907;"КП ""Бюро технічної інвентарізації""";Підготовка інформації за адресою;98000000-3;1000.00
3;10;22.01.2016;33424125;"ПП ""Гранд-газ-сервіс""";Послуги транспортних засобів;60000000-8;5600.00
3;янв.22;17.03.2016;20954500;"ПФ ""КВАНТ""";Ремонт мотокосарок та іншого обладнання ;50000000-5;3280.00
3;18480;23.02.2016;20962907;"КП ""Бюро технічної інвентарізації""";Поточна зьомка;71000000-8;500.00
3;18481;23.02.2016;20962907;"КП ""Бюро технічної інвентарізації""";Поточна зьомка;71000000-8;500.00
3;18482;23.02.2016;20962907;"КП ""Бюро технічної інвентарізації""";Поточна зьомка;71000000-8;500.00
3;18484;23.02.2016;20962907;"КП ""Бюро технічної інвентарізації""";Поточна зьомка;71000000-8;500.00
3;18483;23.02.2016;20962907;"КП ""Бюро технічної інвентарізації""";Поточна зьомка;71000000-8;500.00
3;42651;24.02.2016;37596682;"ТОВ ""Агенство ""Консалт""";Послуги навчання;80000000-4;2700.00
3;0006233/К3;20.01.2016;2426097;"ДП ""Зовнішторгвидав України""";"Використання платного сервісу ""Кабінет замовника""";79000000-4;1080.00
3;178;08.12.2016;38017089;"ТОВ ""Міжгалузевий центр охорони праці та промислової безпеки""";Навчання по правилам електробезпеки;80000000-4;1640.00
3;108-Ч 635;04.01.2016;31619819;"КП ""Іллічівськтеплоенерго""";Послуги з централізованного опалення та гарячого водопостачання;65000000-3;369180.54
3;3221/16-ТЕ-23;21.12.2015;20077720;"ПАТ ""Нафтогаз України""";Природний газ;76000000-3;80707.95
3;462-И;30.11.2015;20950844;"ТОВ ""ТВ-Серрус""";Послуги зі збирання та вивезення великогабаритних відходів;90000000-7;1214718.86
3;460-И;30.11.2015;20950844;"ТОВ ""ТВ-Серрус""";Послуги зі збирання, вивезення твердих побутових відходів та їх захоронення;90000000-7;4870254.89
3;461-И;30.11.2015;20950844;"ТОВ ""ТВ-Серрус""";Послуги зі збирання, вивезення твердих побутових відходів та їх захоронення;90000000-7;14883.24
3;1/192;09.12.2016;40461108;"ТОВ ""Люм'єр Україна""";Оренда майна;98000000-3;60000.00
Усього за розділом ІІІ (Послуги);;;;;;;6725792.94
Разом (розділ І+розділ ІІ+розділ ІІІ);;;;;;;33681429.09
КВЕД;;;;;;;81.10
